0	1	inf	inf	inf	inf	inf	1.3	inf	inf	inf	inf	inf	3.6	inf	inf
1	inf	1.9	inf	inf	inf	inf	inf	inf	inf	inf	inf	1	inf	inf	inf
inf	1.9	inf	inf	inf	0.8	inf	inf	inf	inf	1.6	inf	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	1.3	inf	inf	inf	0.8	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	2.4	inf	inf	inf
inf	inf	0.8	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	inf	2.3	inf	inf	inf	inf	inf	0.7
1.3	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	3.1	inf	2.9	inf	inf
inf	inf	inf	1.3	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	1	inf
inf	inf	inf	inf	inf	inf	2.3	inf	inf	inf	1.3	inf	inf	inf	inf	1.6
inf	inf	1.6	inf	inf	inf	inf	inf	inf	1.3	inf	inf	inf	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	3.1	inf	inf	inf	inf	inf	inf	inf	inf
inf	1	inf	0.8	2.4	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf	inf
3.6	inf	inf	inf	inf	inf	inf	2.9	inf	inf	inf	inf	3.6	inf	inf	inf
inf	inf	inf	inf	inf	inf	inf	inf	1	inf	inf	inf	inf	3.6	inf	inf
inf	inf	inf	inf	inf	inf	0.7	inf	inf	1.6	inf	inf	inf	inf	inf	inf
